code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1800795,TRUE,LIN Yun-Ju,LIN YJ,LIN Yun-Ju,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Men's Singles"", ""Men's Team"", 'Mixed Doubles']",2001-08-17,YILAN,Chinese Taipei,,
1801876,TRUE,CHUANG Chih-Yuan,CHUANG CY,CHUANG Chih-Yuan,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Men's Team""]",1981-04-02,KAOHSIUNG,Chinese Taipei,,
1803711,TRUE,KAO Cheng-Jui,KAO CJ,KAO Cheng-Jui,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Men's Singles"", ""Men's Team""]",2004-12-25,TAIPEI,Chinese Taipei,,
1812512,TRUE,CHENG I-Ching,CHENG IC,CHENG I-Ching,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Women's Singles"", ""Women's Team""]",1992-02-15,,Chinese Taipei,,
1814043,TRUE,CHEN Szu-Yu,CHEN SY,CHEN Szu-Yu,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Women's Team"", 'Mixed Doubles']",1993-08-01,TAIPEI,Chinese Taipei,NEW TAIPEI,Chinese Taipei
1822208,TRUE,CHIEN Tung-Chuan,CHIEN TC,CHIEN Tung-Chuan,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Table Tennis'],"[""Women's Singles"", ""Women's Team""]",2002-01-01,,,,
1878037,TRUE,TANG Chia-Hung,TANG CH,TANG Chia-Hung,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Artistic Gymnastics'],"['Men', ""Men's Horizontal Bar""]",1996-09-23,TAIPEI,Chinese Taipei,TAIPEI,Chinese Taipei
1878186,TRUE,TING Hua-Tien,TING HT,TING Hua-Tien,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Artistic Gymnastics'],"['Women', ""Women's Balance Beam""]",2002-10-11,,Chinese Taipei,,
1878329,TRUE,TSAO Chia Yi,TSAO CY,TSAO Chia Yi,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,178,0,['Tennis'],"[""Women's Doubles""]",2003-12-02,NEW TAIPEI CITY,Chinese Taipei,,
1878345,TRUE,THOMSEN Marcus,THOMSEN M,Marcus THOMSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,186,0,['Athletics'],"[""Men's Shot Put""]",1998-01-07,VOSS,Norway,VAXJO,Sweden
1878346,TRUE,HENRIKSEN Eivind,HENRIKSEN E,Eivind HENRIKSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,192,0,['Athletics'],"[""Men's Hammer Throw""]",1990-09-14,OSLO,Norway,OSLO,Norway
1878347,TRUE,IUEL Amalie,IUEL A,Amalie IUEL,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,179,0,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay""]",1994-04-17,AALBORG,Denmark,OSLO,Norway
1878348,TRUE,JAEGER Henriette,JAEGER H,Henriette JAEGER,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,170,0,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",2003-06-30,AREMARK,Norway,AREMARK,Norway
1878349,TRUE,MOEN Sondre Nordstad,MOEN SN,Sondre Nordstad MOEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,180,0,['Athletics'],"[""Men's Marathon""]",1991-01-12,TRONDHEIM,Norway,SESTRIERE,Italy
1878353,TRUE,ROOTH Markus,ROOTH M,Markus ROOTH,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,182,0,['Athletics'],"[""Men's Decathlon""]",2001-12-22,OSLO,Norway,OSLO,Norway
1878357,TRUE,RETZIUS Lene Onsrud,RETZIUS LO,Lene Onsrud RETZIUS,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,178,0,['Athletics'],"[""Women's Pole Vault""]",1996-01-04,MOELV,Norway,BASEL,Switzerland
1878358,TRUE,KLOSTER Line,KLOSTER L,Line KLOSTER,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,179,0,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay""]",1990-02-27,,Norway,ASKER,Norway
1878359,TRUE,GUTTORMSEN Simen,GUTTORMSEN Si,Simen GUTTORMSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,181,0,['Athletics'],"[""Men's Pole Vault""]",2001-01-19,"DAVIS, CA",United States,"DURHAM, NC",United States
1878360,TRUE,GUTTORMSEN Sondre,GUTTORMSEN So,Sondre GUTTORMSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,185,0,['Athletics'],"[""Men's Pole Vault""]",1999-06-01,"DAVIS, CA",United States,,
1878365,TRUE,MEZNGI Zerei Kbrom,MEZNGI ZK,Zerei Kbrom MEZNGI,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,189,0,['Athletics'],"[""Men's Marathon""]",1986-01-12,,Eritrea,TANANGER,Norway
1878368,TRUE,INGVALDSEN Havard Bentdal,INGVALDSEN HB,Havard Bentdal INGVALDSEN,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,191,0,['Athletics'],"[""Men's 400m""]",2002-09-21,MOELV,Norway,MOELV,Norway
1878369,TRUE,GROVDAL Karoline Bjerkeli,GROVDAL KB,Karoline Bjerkeli GROVDAL,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,171,0,['Athletics'],"[""Women's 5000m""]",1990-06-14,ALESUND,Norway,OSLO,Norway
1878373,TRUE,LILLEFOSSE Pal Haugen,LILLEFOSSE PH,Pal Haugen LILLEFOSSE,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,183,0,['Athletics'],"[""Men's Pole Vault""]",2001-06-04,,,,
1878374,TRUE,MARDAL Thomas,MARDAL T,Thomas MARDAL,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,186,0,['Athletics'],"[""Men's Hammer Throw""]",1997-04-16,GLOPPEN,Norway,OSLO,Norway
1878375,TRUE,SKOTHEIM Sander,SKOTHEIM S,Sander SKOTHEIM,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,190,0,['Athletics'],"[""Men's Decathlon""]",2002-05-31,OSLO,Norway,OSLO,Norway
1878383,TRUE,MOL Anders Berntsen,MOL AB,Anders Berntsen MOL,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,201,0,['Beach Volleyball'],['Men'],1997-07-02,STORD,Norway,,Norway
1878386,TRUE,SOERUM Christian Sandlie,SOERUM CS,Christian Sandlie SOERUM,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,192,0,['Beach Volleyball'],['Men'],1995-12-03,OSLO,Norway,RAELINGEN,Norway
1878388,TRUE,HOFSTAD Sunniva,HOFSTAD S,Sunniva HOFSTAD,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,175,0,['Boxing'],"[""Women's 75kg""]",2004-07-17,,,,
1878389,TRUE,SHIHA Omar,SHIHA O,Omar SHIHA,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,193,0,['Boxing'],"[""Men's +92kg""]",1999-02-03,,Norway,OSLO,Norway
1878394,TRUE,AMUNDSEN Kristine Strand,AMUNDSEN KS,Kristine Strand AMUNDSEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Canoe Sprint'],"[""Women's Kayak Four 500m""]",1998-04-26,,,,
1878395,TRUE,SLETSJOEE Anna Margrete,SLETSJOEE AM,Anna Margrete SLETSJOEE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Canoe Sprint'],"[""Women's Kayak Double 500m"", ""Women's Kayak Four 500m""]",1997-12-22,STABBEK,Norway,OSLO,Norway
1878397,TRUE,VIRIK Maria,VIRIK M,Maria VIRIK,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Canoe Sprint'],"[""Women's Kayak Double 500m"", ""Women's Kayak Four 500m""]",1999-12-04,,,OSLO,Norway
1878398,TRUE,ORITSLAND Hedda,ORITSLAND H,Hedda ORITSLAND,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Four 500m""]",1999-01-08,BAERUMS VERK,Norway,,
1878403,TRUE,ROEHME Knut,ROEHME K,Knut ROEHME,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Mountain Bike'],"[""Men's Cross-country""]",1999-09-25,,,LEIRSUND,Norway
1878406,TRUE,WAERENSKJOLD Soeren,WAERENSKJOLD S,Soeren WAERENSKJOLD,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",2000-03-12,MANDAL,Norway,,
1878412,TRUE,EDSETH Marte Berg,EDSETH MB,Marte Berg EDSETH,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Road'],"[""Women's Road Race""]",1998-10-06,OSLO,Norway,OSLO,Norway
1878413,TRUE,FOSS Tobias,FOSS T,Tobias FOSS,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",1997-05-25,VINGROM,Norway,ANDORRA,Andorra
1878414,TRUE,GASKJENN Ingvild,GASKJENN I,Ingvild GASKJENN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Cycling Road'],"[""Women's Road Race""]",1998-07-01,HORTEN,Norway,,
